class,motion,0
period,1.7388289602179277,10
period,1.3036244710286458,10
period,2.0216183617001486,10
period,1.9561956232244317,10
period,1.2451811833168143,10
period,1.591261700886052,10
period,0.6636145455496651,10
period,1.168075302899894,10
period,2.678317654517389,10
period,1.7109474875710227,10
slave,4.667201829993206,10
slave,2.869660540324886,10
slave,3.1200804937453497,10
slave,1.2631527769799327,10
slave,0.35509807880108174,10
slave,0.9096698499705693,10
slave,3.011333550347222,10
slave,2.402948232797476,10
slave,3.843474905831473,10
slave,2.227687192766854,10
stitch,0.5578970102163462,7
stitch,1.7037395799016377,7
stitch,2.6756751768050657,7
stitch,1.542968964912522,7
stitch,3.105414811954942,7
stitch,1.0485221862792968,7
stitch,1.7365716787484975,7
lousy,1.1707970403855847,10
lousy,2.3642044067382812,10
lousy,0.6731682346291739,10
lousy,1.875334192494877,10
lousy,3.7038827244239516,10
lousy,1.65607989275897,10
lousy,3.7294394175211587,10
lousy,1.3545170153601696,10
lousy,0.7717891383815456,10
lousy,2.070159912109375,10
fool,2.844402313232422,7
fool,1.5707455803366268,7
fool,1.6673302486025054,7
fool,1.608805174468666,7
fool,0.5899477871981534,7
fool,1.8199772690281724,7
fool,1.3342277018229167,7
league,2.398839314778646,7
league,3.4868121230811404,7
league,2.2276303378018465,7
league,3.7021471659342446,7
league,1.7954493280666977,7
league,0.3681591033935547,7
league,2.2235160240760217,7
rage,2.4410773057204027,7
rage,1.6432364968692554,7
rage,1.1130761040581598,7
rage,1.372015146108774,7
rage,2.8848650133287586,7
rage,1.7896861810793823,7
rage,4.148911370171441,7
understand,1.2479165469898896,14
understand,0.6208488650438262,14
understand,0.8757683538621471,14
understand,1.8743339361146438,14
understand,1.530923871851679,14
understand,1.965560464298024,14
understand,0.10758518528293919,14
understand,1.2083489833733974,14
understand,0.9105072021484375,14
understand,1.2237587580605158,14
understand,1.7255548937567349,14
understand,1.2998539851262019,14
understand,1.1319554026533918,14
understand,3.1460298480409565,14
drunk,0.8047174307016226,11
drunk,1.2780111212479441,11
drunk,0.8356219876197076,11
drunk,3.10139528910319,11
drunk,1.4160823822021484,11
drunk,0.5831985473632812,11
drunk,1.4712835241247106,11
drunk,2.844470684344952,11
drunk,1.0662709678091653,11
drunk,2.5266967046828497,11
drunk,1.4763681512129934,11
situation,1.7219224196213943,10
situation,0.8259162902832031,10
situation,1.9833001030815973,10
situation,1.0000689471209492,10
situation,3.4229198953379756,10
situation,0.5284069164379223,10
situation,1.2209365367889404,10
situation,1.0447455512152777,10
situation,2.9425806923518105,10
situation,1.99678955078125,10
offer,1.2050121410472974,9
offer,0.5936737060546875,9
offer,1.6673136393229167,9
offer,2.5381139499038015,9
offer,3.846614714591734,9
offer,0.8216748593458488,9
offer,3.6735779733368843,9
offer,4.116035578801082,9
offer,1.3945239031756367,9
also,1.134767347766507,11
also,2.37631342961238,11
also,0.5951331353956654,11
also,2.997809727986654,11
also,2.4361808627259496,11
also,1.4209781993519177,11
also,0.32181876046316965,11
also,2.240834951400757,11
